,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,mood
46,0.204,0.0624,-22.01,0.0333,0.241,0.827,0.0924,0.0433,66.675,0QPZOS0GApHTXjPb7tfYD0,spotify:track:0QPZOS0GApHTXjPb7tfYD0,96000,Relaxing
47,0.328,0.0694,-17.241,0.0434,0.992,0.912,0.108,0.109,142.344,4fHrHHpb3hY6dkcRORxXwu,spotify:track:4fHrHHpb3hY6dkcRORxXwu,86667,Relaxing
48,0.149,0.186,-25.13,0.0337,0.887,0.898,0.125,0.0803,76.264,0C8rPEfM8lZA05al27k0Pq,spotify:track:0C8rPEfM8lZA05al27k0Pq,94648,Relaxing
49,0.185,0.215,-21.685,0.0343,0.335,0.704,0.112,0.0357,67.083,45zotayJfPuVrGN6L7TmZh,spotify:track:45zotayJfPuVrGN6L7TmZh,86956,Relaxing
50,0.181,0.0358,-21.023,0.042,0.869,0.857,0.108,0.0646,74.164,3HvO0bTIyAMYyHbY1vD9aA,spotify:track:3HvO0bTIyAMYyHbY1vD9aA,90811,Relaxing
51,0.225,0.108,-25.79,0.037,0.628,0.754,0.123,0.0399,76.859,3wBTiLb3ddU35dm2SNh4MW,spotify:track:3wBTiLb3ddU35dm2SNh4MW,82286,Relaxing
52,0.318,0.041,-30.126,0.0362,0.978,0.895,0.07,0.0415,70.038,4G0GaPSZViJnrXRpRFxxFh,spotify:track:4G0GaPSZViJnrXRpRFxxFh,95143,Relaxing
53,0.21,0.0865,-25.304,0.0379,0.895,0.575,0.115,0.0489,69.782,11x57xUo3O5NQV5MLGD6zw,spotify:track:11x57xUo3O5NQV5MLGD6zw,88421,Relaxing
54,0.233,0.127,-21.851,0.0376,0.956,0.771,0.0991,0.0884,98.991,3v3EPJT1PIQQ3DICeBLpxH,spotify:track:3v3EPJT1PIQQ3DICeBLpxH,91139,Relaxing
55,0.329,0.139,-23.53,0.0313,0.826,0.867,0.0863,0.0375,70.073,1GvBcoKn7J7swaqVPcowan,spotify:track:1GvBcoKn7J7swaqVPcowan,96000,Relaxing
56,0.264,0.0477,-27.346,0.0346,0.397,0.69,0.108,0.0659,73.003,4eW9R3LYXbSPWXrEnUPKdi,spotify:track:4eW9R3LYXbSPWXrEnUPKdi,98630,Relaxing
57,0.748,0.0467,-20.727,0.0507,0.93,0.785,0.115,0.301,80.01,5KRryMDFDbpn9r8TjfT2MH,spotify:track:5KRryMDFDbpn9r8TjfT2MH,99000,Relaxing
