name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,uri,duration_ms
Bloom Innocent,Bloom Innocent,Fink,7zNT9GE070fYjnhx6TFWnQ,2019-09-04,20.0,416353.0,0.519,0.931,0.236,0.133,0.127,0.283,-18.378,0.0362,80.008,2.0,4.0,sad,,
Blow,Blow,Yves V,4nX11Rjdh7AuM8Ezb73m1R,2017-05-15,0.0,165000.0,0.603,0.0186,0.902,0.6829999999999999,0.105,0.135,-5.979,0.0494,127.973,5.0,4.0,happy,,
Body Rock,Body Rock,Bingo Players,3wcaYUOKVSEbmmGB43YGqf,2018-11-16,46.0,158212.0,0.627,0.00919,0.944,0.00311,0.444,0.551,-4.459,0.344,126.078,5.0,4.0,happy,,
Bortom Träden,I Blomstertid,Erik Reno,4CFlaEtdgeu4mFmnUApAyl,2020-06-07,48.0,260564.0,0.446,0.8009999999999999,0.0586,0.85,0.0876,0.111,-26.416,0.0416,124.019,8.0,4.0,calm,,
Bottom Of The Sea,Bottom Of The Sea,Isaac Elton,5OTdNMpl1EPr3tOLyyRIc3,2017-07-11,48.0,242213.0,0.775,0.0068099999999999,0.66,0.171,0.22,0.425,-7.9289999999999985,0.0444,126.022,0.0,4.0,happy,,
Bouquet with Lilies,Bouquet with Lilies,La Acacia,1j45uvYWACNGDZ0jmKSTuP,2019-10-30,56.0,216607.0,0.621,0.716,0.345,0.921,0.091,0.113,-12.106,0.0295,117.683,0.0,4.0,calm,,
Breathe,Breathe,Hans Voller,5q2hzGmdBeXEWuMOlOMOt2,2019-10-28,29.0,166194.0,0.612,0.99,0.037,0.947,0.108,0.103,-18.855,0.0408,113.008,11.0,3.0,calm,,
Breathe Me,Colour The Small One,Sia,7jqzZyJJLrpkRFYGpkqSK6,2004-01-01,68.0,272800.0,0.552,0.0364,0.643,0.74,0.105,0.212,-7.36,0.0327,120.012,0.0,4.0,sad,,
Brimful of Asha - Norman Cook Remix,Why Try Harder - Greatest Hits,Fatboy Slim,5BegkNkGXa6TUobnxy5LFL,2006-06-01,0.0,238933.0,0.6629999999999999,0.18,0.957,0.0,0.348,0.937,-2.823,0.0584,125.678,11.0,4.0,happy,,
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4Of7rzpRpV1mWRbhp5rAqG,2019-05-17,84.0,220492.0,0.736,0.946,0.308,0.0,0.186,0.361,-7.83,0.0677,111.202,4.0,4.0,sad,,
